city,postal_code,country
Ogulin,47300,HR
Oštarije,47302,HR
Josipdol,47303,HR
Plaški,47304,HR
Lička Jesenica,47305,HR
Saborsko,47306,HR
Gornje Zagorje,47307,HR
Drežnica,47313,HR
Jasenak,47314,HR
Koprivnica,48000,HR
Cirkvena,48213,HR
Sveti Ivan Žabno,48214,HR
Križevci,48260,HR
Carevdar,48263,HR
Kloštar Vojakovački,48264,HR
Raven,48265,HR
Orehovec,48267,HR
Gornja Rijeka,48268,HR
Kalnik,48269,HR
Reka,48305,HR
Sokolovac,48306,HR
Kunovec,48311,HR
Rasinja,48312,HR
Koprivnički Ivanec,48314,HR
Đelekovec,48316,HR
Legrad,48317,HR
Peteranec,48321,HR
Drnje,48322,HR
Hlebine,48323,HR
Koprivnički Bregi,48324,HR
Novigrad Podravski,48325,HR
Virje,48326,HR
Molve,48327,HR
Gola,48331,HR
Ždala,48332,HR
Đurđevac,48350,HR
Novo Virje,48355,HR
Ferdinandovac,48356,HR
Kalinovac,48361,HR
Kloštar Podravski,48362,HR
Podravske Sesvete,48363,HR
Krapina,49000,HR
Zabok,49210,HR
Veliko Trgovišće,49214,HR
Tuhelj,49215,HR
Desinić,49216,HR
Krapinske Toplice,49217,HR
Pregrada,49218,HR
Bedekovčina,49221,HR
Poznanovec,49222,HR
Sveti Križ Začretje,49223,HR
Lepajci,49224,HR
Đurmanec,49225,HR
Brestovec Orehovički,49228,HR
Hum na Sutli,49231,HR
Radoboj,49232,HR
Gornje Jesenje,49233,HR
Petrovsko,49234,HR
Donja Stubica,49240,HR
Oroslavje,49243,HR
Stubičke Toplice,49244,HR
Gornja Stubica,49245,HR
Marija Bistrica,49246,HR
Zlatar Bistrica,49247,HR
Zlatar,49250,HR
Mače,49251,HR
Mihovljan,49252,HR
Lobor,49253,HR
Belec,49254,HR
Novi Golubovec,49255,HR
Konjščina,49282,HR
Hraščina-Trgovišće,49283,HR
Budinšćina,49284,HR
Klanjec,49290,HR
Kraljevec na Sutli,49294,HR
Kumrovec,49295,HR
Zagorska Sela,49296,HR
Rijeka,51000,HR
Matulji,51211,HR
Vele Mune,51212,HR
Jurdani,51213,HR
Šapjane,51214,HR
Kastav,51215,HR
Viškovo,51216,HR
Klana,51217,HR
Dražice,51218,HR
Čavle,51219,HR
Kostrena,51221,HR
Bakar,51222,HR
Škrljevo,51223,HR
Krasica,51224,HR
Praputnjak,51225,HR
Hreljin,51226,HR
Križišće,51241,HR
Drivenik,51242,HR
Tribalj,51243,HR
Grižane,51244,HR
Novi Vinodolski,51250,HR
Ledenice,51251,HR
Klenovica,51252,HR
Bribir,51253,HR
Crikvenica,51260,HR
Bakarac,51261,HR
Kraljevica,51262,HR
Šmrika,51263,HR
Jadranovo,51264,HR
Dramalj,51265,HR
Selce,51266,HR
Rab,51280,HR
Lopar,51281,HR
Delnice,51300,HR
Brod na Kupi,51301,HR
Kuželj,51302,HR
Plešce,51303,HR
Gerovo,51304,HR
Tršće,51305,HR
Čabar,51306,HR
Prezid,51307,HR
Skrad,51311,HR
Brod Moravice,51312,HR
Kupjak,51313,HR
Ravna Gora,51314,HR
Mrkopalj,51315,HR
Lokve,51316,HR
Crni Lug,51317,HR
Vrata,51321,HR
Fužine,51322,HR
Lič,51323,HR
Zlobin,51324,HR
Moravice,51325,HR
Vrbovsko,51326,HR
Gomirje,51327,HR
Lukovdol,51328,HR
Severin na Kupi,51329,HR
Opatija,51410,HR
Ičići,51414,HR
Lovran,51415,HR
Mošćenička Draga,51417,HR
Brseč,51418,HR
Krk,51500,HR
Malinska,51511,HR
Njivice,51512,HR
Omišalj,51513,HR
Dobrinj,51514,HR
Šilo,51515,HR
Vrbnik,51516,HR
Kornić,51517,HR
Punat,51521,HR
Draga Bašćanska,51522,HR
Baška,51523,HR
Mali Lošinj,51550,HR
Veli Lošinj,51551,HR
Ilovik,51552,HR
Nerezine,51554,HR
Belej,51555,HR
Martinšćica,51556,HR
Cres,51557,HR
Beli,51559,HR
Susak,51561,HR
Unije,51562,HR
Ćunski,51564,HR
Pazin,52000,HR
Pula,52100,HR
Medulin,52203,HR
Marčana,52206,HR
Barban,52207,HR
Krnica,52208,HR
Rovinj (Rovigno),52210,HR
Bale (Valle),52211,HR
Fažana,52212,HR
Vodnjan (Dignano),52215,HR
Galižana (Gallesano),52216,HR
Labin,52220,HR
Rabac,52221,HR
Koromačno,52222,HR
Raša,52223,HR
Trget,52224,HR
Nedešćina,52231,HR
Kršan,52232,HR
Šušnjevica,52233,HR
Plomin,52234,HR
Pićan,52332,HR
Podpićan,52333,HR
Žminj,52341,HR
Svetvinčenat,52342,HR
Kanfanar,52352,HR
Cerovlje,52402,HR
Gračišće,52403,HR
Sveti Petar u šumi,52404,HR
Buzet,52420,HR
Lanišće,52422,HR
Karojba,52423,HR
Motovun,52424,HR
Roč,52425,HR
Lupoglav,52426,HR
Livade,52427,HR
Oprtalj (Portole),52428,HR
Grožnjan (Grisignana),52429,HR
Boljun,52434,HR
Poreč,52440,HR
Tinjan,52444,HR
Baderna,52445,HR
Nova Vas,52446,HR
Vižinada,52447,HR
Sveti Lovreč,52448,HR
Červar Porat,52449,HR
Vrsar,52450,HR
Funtana,52452,HR
Buje (Buie),52460,HR
Momjan (Momiano),52462,HR
Višnjan,52463,HR
Kaštelir,52464,HR
Tar,52465,HR
Novigrad (Cittanova),52466,HR
Umag (Umago),52470,HR
Brtonigla (Verteneglio),52474,HR
Savudrija (Salvore),52475,HR
Gospić,53000,HR
Lički Osik,53201,HR
Perušić,53202,HR
Kosinj,53203,HR
Medak,53205,HR
Brušane,53206,HR
Smiljan,53211,HR
Klanac,53212,HR
Donje Pazarište,53213,HR
Otočac,53220,HR
Škare,53221,HR
Dabar,53222,HR
Vrhovine,53223,HR
Ličko Lešće,53224,HR
Švica,53225,HR
Kompolje,53226,HR
Korenica,53230,HR
Plitvička Jezera,53231,HR
Ličko Petrovo Selo,53233,HR
Udbina,53234,HR
Bunić,53235,HR
Podlapača,53236,HR
Lovinac,53244,HR
Donji Lapac,53250,HR
Nebljusi,53251,HR
Doljani,53252,HR
Brinje,53260,HR
Križpolje,53261,HR
Jezerane,53262,HR
Senj,53270,HR
Krivi Put,53271,HR
Vratnik,53273,HR
Krasno,53274,HR
Sveti Juraj,53284,HR
Jablanac,53287,HR
Karlobag,53288,HR
Lukovo Šugarje,53289,HR
Novalja,53291,HR
Lun,53294,HR
Zubovići,53296,HR
